AMAZON.Airport,AMAZON.AlphaNumeric,AMAZON.City,AMAZON.Country,AMAZON.Currency,AMAZON.Date,AMAZON.DateInterval,AMAZON.DayofWeek,AMAZON.Duration,AMAZON.EmailAddress,AMAZON.FirstName,AMAZON.LastName,AMAZON.Number,AMAZON.Percentage,AMAZON.PostalAddress,AMAZON.Speed,AMAZON.State,AMAZON.StreetName,AMAZON.Time,AMAZON.Weight
,{},{},It's in {},exactly {},{},{},{}.,{},It is {}.,My name is {},My name is {},{},{},My address is {},It is {},It is {},{},{},
,yeah it's {},in {},It is {},a total of {},For {},{}.,{},{}.,My email is {}.,Yes it's {},My last name is {},{}.,{}.,The address is {},It's {},It's {},{}.,{}.,
,it's {},It's {},Yes it's {},its {},yeah so its {},Could you put {},it's {},for {},{} is my email address,My name's {},It's {},That's {},{} percent,The street address is {},{},{},Street name {},IT IS {},
,ok its {},Yes {},In {},{} in total,"yeah, {}",Put it as {},its {},For {}.,{},It's {},"Yes, it's {}",thats {},{} %,It's {},I think about {},"Yes, it's {}",The street name is {},I want to put {},
,think its {},The city is {},Yes {},A total of {}.,"Yes, {}",Put down {},it is {},exactly {},The email is {},"Yeah, it's {}",It is {},That's {}.,{} %.,It is {},a speed of {},The state is {},the street name's {},The time is {},
,"I've got {}, is that right?",Yeah {},Yeah in {},{}.,Yes {},put {},It is {}.,about {},Yes it is {},"Yeah, {}","Yes, it's {}",thats {}.,{} percent.,At {},It should be {},"Yes, the state should be {}.",That's {},For time it's going to be {},
,It should be {},Yes it's {},{} please,{},on {},yeah - {},{} please,approximately {},It's {},I'm {},"Of course, it's {}",It's {},A percentage of {},It is {} thanks,It's {} I think,{} is the state,it's {},that's going to be {},
,It is {}.,yeah it's {},The country is {},It's {}.,for the following date: {},"yep, {}",before {},approx {},its {},My first name is {},Yes it's {},its {},a percentage of {}.,Address: {},I believe it's {},In the state of {},thats {},that's {},
,{}.,Its {},"Yup, {}",{} is the amount,on the following date: {},{} I think,next {},around about {},Yeah it is {},"Yep, I'm {}",It is {} thanks,That's going to be {}.,{} per cent,At the address {},I think it's {},The state's {},its {},thats {},
,it would be {},That would be {},For {} please,{} is the value,on: {},I think {},on {},i guess like {},Sure {},I'm called {},The name is {},It's going to be {}.,{} per cent.,For the address {},Is it {}?,The state should be {},So its {},its {},
,{} I think?,That's {},It's for {},A value of {}.,for: {},It is: {},after {},{} I guess,"Sure, my email is {}",My given name is {},Last name {},It should be {},A per cent of {},At {} thanks,"Yeah, it's {}",In {},"Sure, {}.",It's {},
,from what I can see its {},Yep {},"Sure, it's {}",{} I think,it should be on {},"Yes, it is {}",Next {}.,I guess {}.,Yeah the email is {},"Yes of course, I'm {}","Yeah, it's {}",put {},It's {},It's at {},Yes it is {},It is in {},yeah {},its {}.,
,Looks like it's {}.,Sure {},{} thanks,{} only.,For {}.,"Yeah, it's {}",before {}.,"{}, I think.",Yes {} is my email.,"Sure, my name is {}","Yeah, it is {}",yeah {},its {},Yes it's {},It should be {} thanks,It's in {} thanks,"Yeah, {}",It's {}.,
,seems to be {},yep it's {},"Yes, it's {}",Only {}.,yep for {},yep... {},after {}.,"Yeah, it's {}.",{} that's it.,"Yes, I'm {}",Yeah it's {},"yes, {}",That's {},Yes it is at {},The speed should be {},"Yeah, it's {}","Yes, {}",That's {}.,
,As far as I can tell it's {}.,"Yes, it's {}","Yeah, {}.",An amount of {}.,On {},Could you check {},On {}.,...about {}?,Of course that is {},It's {} thanks,"Yes, my name is {}","yeah, {}",thats {},"Of course, it's {}",{}.,Yes it is {},yes {},"Yes, {}.",
,"I'm not entirely sure, I think it's {}.","yeah, {}",It is in {},It is {}.,for {},Check {},It would be {}.,for around {},It would be {},"Of course, it's {}",My family name is {},Yes {},it's going to be {},It is {} thank you,its {},In {},Put {},yes {},
