disputed_cable_charges_names,I didn't order any pay per view,there's PPV charges on here,I didn't order NFL Sunday Ticket,I never signed up for HBO,There's a movie on here I didn't order,I didn't sign up for this sports package,I canceled Showtime but I'm still being charged for it,"I didn't order this boxing match, I don't even like boxing"
six_month_date_range,between march and april,just in june,July,for December,in my march bill,Sept-Oct,January,just for September
cellphone_cancellation_reason,I changed my mind,I have to cancel because I signed up by mistake,Because I'm not satisfied with the service.,Due to problems I am experiencing with it,it's because I found a better price elsewhere,cuz I am moving,Personal reasons,Basically because it's not a good fit for me anymore
internet_preferences_options,internet,My internet preferences,The internet ones,internet preference settings,Internet preferences.,"Internet, please.",The internet preferences.,The preferences for internet.
payment_plan_frequency,Every month,I pay quarterly,I pay yearly.,I make a payment every two months.,I pay every 2 months,I pay on a monthly basis.,once a month,I pay once a year
sim_error,no SIM card detected,no SIM card installed,it goes into airplane mode,it says emergency calls only,it keeps asking for a PIN,no service,it says there's no sim card,no sim card
overage_disputes,On account of never having enough data.,Because it's unfair and wrong that you're charging me,Due to it being your error and not mine,The charge is too high,Well I had already changed my limit and then you still charged me,You see I feel the fee is unjust,It's so expensive and I didn't go over the limit,too expensive
referral_options,refer-a-friend,50% off referral program,It is the family-friend one.,The one where I get a $5 voucher,Macy's vouchers referral program,Family and friends bonus program,All of us referral program,Together referral program
remote_type,came with cable box,bought a different one,I have the original.,it's a new one,original,new,I bought one,I think I have the one that came with the cable box.
complaint_incident,Well my case was totally mishandled,You see I got ripped off,I was treated unfairly by a representative,Ever since I've been using your service I've had all kinds of problems with it.,Because of false advertising,It's about discrepancies in what I offered and what the service is like,Due to price gauging,What happened was I had my service cut off for no reason
sound_picture_problem,issues w/sound and pic,The sound and the picture won't sync up,The picture and sound are out of sync,problems with the sound and picture,There's a lag with the sound and the picture,the sound is all screwed up,Well it appears that the sound won't match up with the picture,The picture is on the screen but the sound happens way after
volume_changing_problem,issues with the volume,The volume changes when I change channels,Every time I switch channels the volume goes way down,The volume increases when we change channels,volume isn't working,something's weird w/the volume,it seems the volume and channel buttons are screwed up,either the volume goes up or down whenever I go to a different channel
cause_of_issue_incident,I think it was from flooding,Massive wind storm,I accidentally mowed over it,I think it was this blizzard we had,It froze and then snapped cuz it's so cold here,must've been the weather I suppose,it appears that someone cut it,It honestly looks like it melted
equipment_issue_error,Router's broken,The router isn't working,the issue is that the router doesn't work,Well it appears to be totally dead,It won't connect to anything,The plug seems to be broken,it has stopped functioning completely,it's old and broken
change_cable_plan_reason,Because it's too expensive,Due to financial stress,it's because I want more options,cuz I want less options,there are too many channels and I get overwhelmed,My old plan was crap,I want a plan that has live pause,I wanna be able to connect to my computer
cable_customer_activity_issue,I was watching TV,I was watching CBS,I was flipping through the channels,I was watching a movie,I was watching Criminal Minds,I was watching football,I was looking for something to watch,I was watching the news
customer_complaint_reason,Harassment,Overcharge,I believe you've stolen my personal information,Your customer service sucks,The manager was very unprofessional,the tech person installed the internet wrong,the cable was installed incorrectly,the employee was rude to me
space_shuttle_launch,I want to see when the next SpaceX rocket is launched,the SpaceX shuttle,I want to see the next shuttle they take to the space station,the Atlas V rocket,the one taking off in Florida,the one Elon Musk built,the one going to Mars,the latest NASA one
space_shuttle_streaming,live,pre-recorded,I'd like to see it live.,Pre-recorded please.,I want to be able to watch live,I'm hoping to see it happen live.,pre-recorded is fine,I want pre-recorded
damaged_router_issue,It's not working,The router has stopped functioning,I can't connect my Wi-Fi to the router,router won't connect to anything,none of the lights are working,it won't turn on,It appears to just be broken,overheated and broke
service_troubleshooting_problem,it's not working,not functioning,The service is not working at all.,It's down.,it's totally out,I can't get it working,It's stopped,seems to be down
set_top_box_problem_reason,There's a lag time,It's frozen,it's not reacting quicky,It keeps taking like a few seconds to do anything,it has slowed down a lot,the tv is like really slow,it reacts to buttons like 20 seconds later,there's like a weird lag time
set_top_box_reason,it's frozen,I can't reboot it,It won't turn on,It's not reacting to any button I press,There's that circle thingy going around and it won't go away,It's stuck on a channel,I can't turn it off,The volume won't work
new_tv_remote_reason,It straight up doesn't work,The remote's broken basically,It's broken beyond repair,Half the buttons won't work,The remote gets so hot I can't even touch it,it's like overheating or something,it has stopped connecting to the tv,The TV won't react to it
property_damage_cable,The guy's van drove over my flowers.,There's a hole in my wall now.,My carpet got ripped up.,The installation van hit my fence.,Some concrete on my driveway got torn up.,There's a stain in my carpet now.,The guy fell through my roof so now there's a hole in it.,scuff marks on my wall
desired_playlist_name,Jams,My tunes,Workout mix,can you call it road trip,I'd like to call it Favorite Songs,let's call it Party Mix,Just call it Party Playlist,Driving mix
cause_of_satellite_damage,there was a bad storm,it somehow fell off the house,I honestly don't know,no idea but it's broken,You did a bad job installing it and it fell,I think it's bent out of shape somehow,A thingy fell off of it the other day,I think it's from a lightning storm we had
cable_tv_ad_complaint,there was swearing,It was racist,I felt it was inappropriate,Well the content was questionable,First off it made fun of obesity,My concern was the message it sent,It had flat out lies in it,I saw nudity
landline_removal_reason,I mean who needs a landline these days?,No one calls it,waste of money when we all got cell phones,Well a landline is pretty superfluous these days,It just takes up space,I never use it,opt out of answering,who even uses a landline these days?
phone_internet_service_change_reason,Can I cancel my service and keep internet?,"I want to cancel service, keep internet.",I'd like to cancel my service but keep my internet,I wanted to keep my internet but cancel my service.,Can you help me cancel my service while keeping my internet?,Could you help me cancel my service but not my internet please?,I want to get help cancelling my service but keeping my internet,"Could you help me out with cancelling my service, but keeping my internet please?"
economic_hardship_reason,I was fired,lost my job recently,someone sued me,I've been unemployed for ages,alimony,the child support I pay is thru the roof,I cannot find work,I had unexpected major surgery
desired_feature_addon,5g please,extra SMS,voicemails,I want to get voicemails,could I get 5g?,I'd like voicemail service,call diversion,I want to be able to divert my calls
equipment_priority_one,Access to outlets,We'll need free Wi-Fi access,projector screen,Main priority would be WIFI,A wireless projector with a screen,tables and chairs,Space for physical activities,We'll need a stage
equipment_priority_two,Comfort,I'd also like a good price,Air conditioning would be nice,Large windows would be good,I'd prefer a TV and projector setup,Could I have a whiteboard?,I'd like it to fit 300 people,It'd be nice to have lecture hall seating
data_overage_usage_options,I want to add on more data,gimme another gb of data,Add on another GB of data,Can I switch to unlimited data,Put me on the unlimited data plan,Can I add on 3 GB just for this month,Please add another 5 GB to my plan,I'd like 3 GB more data but just for this month
remove_line_reason,Honestly I just don't need it anymore,Our house has downsized,My kid moved out so it's unnecessary now,Does that actually matter? I don't want to pay for it anymore!,It's too expensive,We're just trying to reduce our expenses,It's too much we don't need it,I've no use for it anymore
remove_channel_reason,it's too expensive,I don't use it enough,We don't watch enough tv for it to be worth it,Well it's not worth the price,Cuz the channels don't work half the time,honestly we mostly just watch Netflix,simply put I'm cutting back on my bills,cuz I watch too much
moving_abroad_cancel_reason,I'm leaving the country,Moving abroad,I wanna cancel cuz I assume I can't use your services in another country right?,We're heading overseas for a year,I will be moving back to my home country soon,Leaving this country,well I'm going abroad,moving internationally
cancel_contract_reason,You guys suck,I'm not happy w/the service,You charge too much,the service is horrible,your service isn't good,I'm not pleased with the contract,I feel I'm being overcharged,What you charge isn't worth it
generic_promotion_options,the half off one,I want the latest discount,I want the 30% off one,I want to sign up for the new customer deal,Can I sign up for the longtime customer deal?,Could I sign up for the student promotion?,I'd like the university employee one,The summer promo would be great!
generic_website_error,I can't even get to the website,It says to clear the cookies,When I type in the address it says it doesn't exist,botched plugin,seems to be an issue with the system database,It's a problem with the CMS,DoS attack,slow DNS connection
generic_website_purpose,Advertising my business,It'll be for a personal blog,It's a website for my CV,I'm using it for accepting payments,It's for advertising,For sharing my portfolio,I'll use it for posting reviews of my services,The website is for a wedding.
generic_router_issue,It's not working,The router has stopped functioning,I can't connect my Wi-Fi to the router,router won't connect to anything,none of the lights are working,the wire like broke off,It appears to just be broken,overheated and broke
generic_equipment_type,a virtual router,I got a core router,it was a wired router,it's a AC1750,oh it's the AX3000 model,it is a AC1750,It is a AX6000.,That'd be a wireless one.
generic_router_flashing_light_issue,It's not working,The router has stopped functioning,the lights are going crazy,router won't connect to anything,flashing lights,There's a red light going on and off,Blinking lights,Lights won't stop flashing
generic_equipment_type_installation,tv,home surround sound,smart TV set,cable box,it's a smart tv set,I have a cable box,my router and wiring,internet - router etc.
generic_technician_complaint,Tech installed the thing wrong!,They didn't show up on time,he was really rude,It appears the tech stole some money from my house,well she never actually came,The tech installed the wrong equipment,They ran over my garden with their van,They backed into my car
