percent_less_than_25,5.0,10.0,15.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
overseas_error_code,wrong country,not available,reset phone,unauthorized,service not available,no service,,,,,,,,,,,,,,,,,,,,,,,,
info_receipt_type,download,delete,both,,,,,,,,,,,,,,,,,,,,,,,,,,,
business_operating_hours,9 til 5,9 til 5,10am-4pm,11am-3pm PST,8am-4pm EST,9 till 6,8am-5pm,,,,,,,,,,,,,,,,,,,,,,,
investment_type,401k,stock,bond,futures,cryptocurrency,gold,real estate,,,,,,,,,,,,,,,,,,,,,,,
router_brand,TP-Link,ASUS,Netgear,Apple,Belkin,AVM,ASRock,Buffalo,EDIMAX,TRENDnet,Motorola,Linksys,Amazon,Google,,,,,,,,,,,,,,,,
router_type,wireless,wired,edge,core,virtual,,,,,,,,,,,,,,,,,,,,,,,,,
router_model,Archer A7,Nighthawk AX12,RT-AC66U B1,Archer,RT-AX88U,Eero Pro Mesh,Nest,EA9500 AC5400,RT-AX86U AX5700,EA9500 Max,AC1750,AX3000,AX6000,AX11000,,,,,,,,,,,,,,,,
industry_type,hospitality,construction,retail,education,transport,agriculture,advertising,manufacturing,information technology,electronics,pharmaceutical,food,,,,,,,,,,,,,,,,,,
commercial_address,"581 Pineview Dr., Hedley TX, 79237",3418 Grim Avenue San Diego California 92101,"878 Stanley Ave., Graysville, Georgia, 30726",2119 Coal St. in Altoona PA 16602,"3130 Victoria Street, Buffalo Grove, Illinois, 60089",2969 Lena Ln. Jackson MS 39211,4490 Grant View Drive Milwaukee Wisconsin 53213,"4765 Main St., Tukwila WA, 98168","3677 Briercliff Rd., Brooklyn, New York, 11209","3348 Godfrey Rd., New York, NY 10016",,,,,,,,,,,,,,,,,,,,
personal_business,personal,business,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monthly_quarterly_annual,monthly,quarterly,annually,,,,,,,,,,,,,,,,,,,,,,,,,,,
employment_type,part-time,self-employed,unemployed,freelance,full-time,,,,,,,,,,,,,,,,,,,,,,,,,
credit_report_agency,Experian,Equifax,TransUnion,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit_debit,credit,debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delivery_physical,post,pick-up,delivery,mail,,,,,,,,,,,,,,,,,,,,,,,,,,
delivery_information,text,email,post,mail,,,,,,,,,,,,,,,,,,,,,,,,,,
email_postal,email,postal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advertisement_type,popup,email,newspaper,radio,TV,internet,ad,,,,,,,,,,,,,,,,,,,,,,,
card_collection,mailed,picked-up in branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset,cash,stocks,bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,
plug_extend,plug-in extender,router extender,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durable,durable,non-durable,non durable,,,,,,,,,,,,,,,,,,,,,,,,,,,
replacement,lost,stolen,broken,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank_account,checking,savings,money market,CD,IRA,brokerage,,,,,,,,,,,,,,,,,,,,,,,,
chat_email_phone,chat,email,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
bank,Chase,Bank of America,Wells Fargo,Citibank,PNC,Capital One,TD Bank,State Street,,,,,,,,,,,,,,,,,,,,,,
security_question,what is your mother's maiden name?,what was your childhood best friend's name?,what was the name of your first pet?,what was your first car?,what elementary school did you attend?,,,,,,,,,,,,,,,,,,,,,,,,,
security_answer,Smith,Kevin,Scout,Toyota Camry,Westville Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,
refund,cash,refund,credit,,,,,,,,,,,,,,,,,,,,,,,,,,,
trading_platform,Fidelity,TD Ameritrade,Tastyworks,ETrade,Charles Schwab,Interactive Brokers,Webull,,,,,,,,,,,,,,,,,,,,,,,
qualification,B.A.,B.S.,M.A.,M.F.A.,M.S.,Ph.D.,J.D.,A.A.,A.S.,M.B.A.,B.B.A.,,,,,,,,,,,,,,,,,,,
film,National Lampoon's Christmas Vacation,Mud,Her,The Irishman,Dolemite Is My Name,Homecoming,Silver Linings Playbook,Gaga: Five Foot Two,A Little Chaos,I Feel Pretty,Rushmore,Roma,,,,,,,,,,,,,,,,,,
song,Mood,Positions,Blinding Lights,Holy,Go Crazy,Anyone,Levitating,Laugh Now Cry Later,Bang!,I Hope,,,,,,,,,,,,,,,,,,,,
streaming_service,Spotify,Tidal,Netflix,Hulu,Peacock,Prime Video,Disney+,ESPN+,HBO Max,CBS All Access,,,,,,,,,,,,,,,,,,,,
error_color,green,orange,red,,,,,,,,,,,,,,,,,,,,,,,,,,,
single_family,single,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accounting_method,cash,accrual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transfer_error,selected the incorrect account,made an error with the recipient,sent the incorrect amount,selected the wrong date,selected the wrong transfer time,made a mistake with the recipient's account,chose the wrong account number,,,,,,,,,,,,,,,,,,,,,,,
email_phone,email,phone,cell,,,,,,,,,,,,,,,,,,,,,,,,,,,
business_loan_type,term loan,SBA loan,business lines of credit,equipment loan,invoice factoring,invoice financing,merchant cash advance,personal loan,,,,,,,,,,,,,,,,,,,,,,
auto_loan_providers,PenFed Credit Union,Bank of America,Consumers Credit Union,myAutoloan,LightStream,Carvana,,,,,,,,,,,,,,,,,,,,,,,,
loan_mortgage,loan,mortgage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modem_brand,Motorola,Netgear,D-Link,3Com,TP-Link,Belkin,Huawei,ZyXEL,Beetel,USRobotics,,,,,,,,,,,,,,,,,,,,
network_coverage_type,4G,LTE,5G,,,,,,,,,,,,,,,,,,,,,,,,,,,
service_type,TV,internet,phone,Wi-Fi,cable,satellite,,,,,,,,,,,,,,,,,,,,,,,,
us_international,US,international,,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_type,house,apartment,duplex,condominium,townhouse,,,,,,,,,,,,,,,,,,,,,,,,,
cable_DSL,cable,DSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
security_question.1,What is your pet's name?,What is your mother's maiden name?,What city did you meet your spouse in?,What city where you born in?,What was the name of your childhood toy?,,,,,,,,,,,,,,,,,,,,,,,,,
fiber_cable,fiber,cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app,Facebook,Twitter,Whatsapp,Shazam,Evernote,Messenger,Instagram,Snapchat,Spotify,YouTube,Signal,Reddit,,,,,,,,,,,,,,,,,,
cable_box_brand,HUMAX,ARRIS,DISH,Roku,Technicolor,Broadcom,Huawei,ADB,Comcast,Pace,,,,,,,,,,,,,,,,,,,,
social_platform,Facebook,Instagram,Twitter,YouTube,TikTok,Reddit,Snapchat,WhatsApp,,,,,,,,,,,,,,,,,,,,,,
cable_fiber,cable_fiber,fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond,treasury,US government,corporate,junk,foreign,mortgage-backed,municipal,,,,,,,,,,,,,,,,,,,,,,,
phone_internet,phone,internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_online,phone,online,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_email,phone,email,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical_own,physical damage,other issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wifi_type,public,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,
